iter	Passed	Remaining
208	5826	22050
209	5846	21995
210	5867	21939
211	5887	21883
212	5909	21833
213	5927	21772
214	5948	21719
215	5968	21663
216	5999	21649
217	6021	21599
218	6045	21560
219	6074	21537
220	6097	21494
221	6124	21461
222	6146	21415
223	6218	21542
224	6251	21531
225	6316	21630
226	6347	21614
227	6380	21605
228	6439	21681
229	6480	21696
230	6508	21665
231	6527	21608
232	6551	21567
233	6577	21530
234	6608	21513
235	6632	21471
236	6656	21430
237	6683	21399
238	6703	21345
239	6722	21286
240	6745	21245
241	6767	21196
242	6788	21147
243	6805	21085
244	6824	21030
245	6848	20992
246	6866	20933
247	6889	20891
248	6913	20852
249	6932	20798
250	6952	20745
251	6973	20698
252	6997	20659
253	7018	20613
254	7043	20576
255	7065	20533
256	7085	20485
257	7108	20443
258	7132	20407
259	7163	20388
260	7192	20365
261	7213	20318
262	7231	20265
263	7250	20212
264	7268	20161
265	7288	20111
266	7309	20067
267	7337	20041
268	7358	19997
269	7380	19954
270	7399	19905
271	7422	19865
272	7443	19822
273	7464	19778
274	7488	19741
275	7514	19711
276	7532	19659
277	7551	19612
278	7571	19565
279	7591	19520
280	7610	19473
281	7643	19461
282	7678	19453
283	7703	19421
284	7718	19364
285	7742	19328
286	7763	19285
287	7782	19239
288	7804	19200
289	7827	19163
290	7848	19123
291	7877	19101
292	7913	19095
293	7963	19122
294	7994	19104
295	8029	19096
296	8061	19082
297	8083	19043
298	8103	18997
299	8124	18956
300	8143	18910
301	8179	18904
302	8220	18908
303	8238	18861
304	8261	18824
305	8285	18791
306	8305	18747
307	8334	18724
308	8354	18681
309	8375	18642
310	8396	18602
311	8415	18557
312	8435	18514
313	8454	18470
314	8482	18445
315	8502	18403
316	8522	18363
317	8549	18334
318	8569	18293
319	8591	18257
320	8609	18211
321	8632	18177
322	8654	18138
323	8673	18095
324	8702	18074
325	8722	18033
326	8744	17997
327	8765	17958
328	8788	17924
329	8810	17887
330	8833	17854
331	8852	17812
332	8875	17776
333	8894	17736
334	8917	17702
335	8943	17673
336	8963	17633
337	8983	17595
338	9005	17559
339	9024	17517
340	9050	17490
341	9069	17449
342	9092	17416
343	9115	17382
344	9133	17340
345	9154	17304
346	9175	17267
347	9197	17231
348	9228	17214
349	9251	17180
350	9269	17140
351	9288	17099
352	9307	17060
353	9327	17020
354	9345	16979
355	9365	16942
356	9387	16908
357	9411	16877
358	9432	16841
359	9453	16805
360	9471	16765
361	9491	16727
362	9510	16690
363	9537	16664
364	9559	16630
365	9579	16594
366	9599	16556
367	9625	16530
368	9650	16502
369	9677	16477
370	9713	16469
371	9755	16468
372	9785	16448
373	9804	16410
374	9828	16381
375	9851	16348
376	9871	16312
377	9900	16292
378	9937	16282
379	9984	16289
380	10024	16286
381	10053	16264
382	10082	16243
383	10103	16207
384	10130	16182
385	10151	16148
386	10170	16109
387	10199	16087
388	10217	16048
389	10233	16005
390	10249	15964
391	10283	15949
392	10311	15927
393	10332	15892
394	10353	15858
395	10376	15827
396	10397	15792
397	10417	15757
398	10444	15731
399	10466	15699
400	10485	15662
